Designation,Gender,CollegeTier,collegeGPA,CollegeCityTier,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
Applications and Systems Programmers,f,2,65,0,435,565,575,0.765673581,-0.8902,0.858258744,-0.332136287,-2.828135889,-0.094043297
Applications and Systems Programmers,m,2,65,0,765,645,795,0.704090412,-1.2396,0.162570234,0.01921066,-2.603931978,-0.4427457
Applications and Systems Programmers,m,2,65,0,570,510,470,0.694479328,-0.4733,0.341636097,-0.913121808,-2.567562975,-0.282391073
Applications and Systems Programmers,f,2,65,0,370,355,385,0.294295423,1.1632,0.359165233,-0.913537131,-2.056104172,-0.136949504
Applications and Systems Programmers,m,2,65.12,0,500,450,400,0.493596387,0.5016,0.298618685,0.929528023,-2.123788974,0.777867702
Applications and Systems Programmers,m,2,65.26,0,495,535,715,0.493596387,-0.0665,-0.322883305,0.893147008,-2.343131087,-1.094933859
Applications and Systems Programmers,m,2,65.3,1,745,450,430,0.661834476,-0.594,0.980920698,0.494478315,-1.737494555,-0.064788504
Applications and Systems Programmers,m,2,65.55,0,435,465,465,0.704090412,-1.3928,-0.870144296,0.001149298,-2.767915529,-0.51867502
Applications and Systems Programmers,m,2,65.6,0,595,545,500,0.744758354,-0.412,0.779202574,0.607770677,-2.980791145,-0.453346044
Applications and Systems Programmers,m,2,65.7,1,430,350,475,0.622642916,-0.0246,0.480825147,0.823325562,-1.832792595,-0.031276077
Applications and Systems Programmers,m,2,65.72,0,430,350,450,0.486747008,-0.8939,0.91289815,0.27942374,-1.812064263,0.360499165
Applications and Systems Programmers,m,1,65.89,1,650,640,795,0.20739217,-0.2996,0.709788018,0.229025183,-1.541416014,-1.193447087
Applications and Systems Programmers,m,2,66.1,0,545,565,475,0.23780284,-1.1017,0.789338703,0.222383703,-1.611164593,-1.109896497
Applications and Systems Programmers,m,2,66.33,1,595,545,575,0.910770164,-1.1241,-0.735867849,0.428792057,2.47863435,0.82564048
Applications and Systems Programmers,m,2,66.6,0,625,585,750,0.952245573,-0.6254,0.568101669,0.679974608,-2.338268925,-0.458532107
Applications and Systems Programmers,m,2,67,0,505,465,555,0.525922584,0.7994,0.008665146,0.944394529,-1.74377268,0.336512797
Applications and Systems Programmers,m,2,67,0,345,465,515,0.884122512,-0.4808,0.089605669,0.372707371,-2.075458187,-1.232838317
Applications and Systems Programmers,m,2,67,0,605,535,500,0.901489571,0.9707,0.163430247,0.618061381,-2.190666504,-0.327153509
Applications and Systems Programmers,m,2,67,0,710,655,500,0.843123727,-0.735,0.24502705,0.701281669,1.820580195,-1.297074589
Applications and Systems Programmers,m,2,67,1,660,610,705,0.911395278,-1.4102,0.582199132,0.259582973,2.520149722,0.030501624
Applications and Systems Programmers,m,1,67,0,510,610,665,0.649389715,-0.6231,0.11899932,0.86058474,-2.186152734,0.524255241
Applications and Systems Programmers,f,2,67,0,595,625,560,0.338786347,-1.1595,0.174707203,0.983599713,-1.578838882,1.120975103
Applications and Systems Programmers,m,1,67.23,0,525,525,565,0.538386893,-0.1102,0.140028867,0.176688448,-2.831909495,-0.188918109
Applications and Systems Programmers,m,2,67.25,0,525,505,585,0.842248322,-1.1147,0.375209123,0.599605484,-1.888813955,-0.259770518
Applications and Systems Programmers,m,2,67.46,0,425,535,555,0.376059587,0.8759,0.340122338,0.394965764,-2.818966476,-1.284903713
Applications and Systems Programmers,f,2,67.56,0,525,575,525,0.694479328,0.4762,0.532413063,0.92437904,-2.449553466,-0.784029173
Applications and Systems Programmers,m,2,67.58,0,500,645,650,0.765673581,0.2727,-0.753867157,0.832583553,2.06663965,0.97930332
Applications and Systems Programmers,m,2,67.6,0,640,555,585,0.622642916,-1.2738,0.68905655,0.153503655,-1.911349089,-0.10374362
Applications and Systems Programmers,m,2,67.68,1,335,350,145,0.563267824,-1.2402,0.740767854,-0.297393526,-1.573603822,-0.470795622
Applications and Systems Programmers,m,2,68,1,415,265,335,0.450876584,-1.2422,0.279258137,-0.956955874,-1.915977475,-0.242937643
Applications and Systems Programmers,m,2,68,1,515,445,465,0.538386893,-0.8179,0.921731552,0.400296526,-2.188063556,-0.819484845
Applications and Systems Programmers,f,2,68,1,565,515,464,0.600057182,-0.471,0.257786075,0.092699646,-2.393114343,1.096831898
Applications and Systems Programmers,m,2,68,0,485,385,365,0.635978756,-0.6943,0.857996382,0.965751901,-2.441618495,-1.335021487
Applications and Systems Programmers,m,2,68,0,590,630,780,0.229481755,-0.9921,0.568944898,0.021452578,-1.874980313,-1.418701535
Applications and Systems Programmers,m,2,68,0,545,510,445,0.744758354,-0.9093,0.919194232,0.749807186,-2.257405146,-0.82858542
Applications and Systems Programmers,m,2,68,0,455,505,630,0.356536488,-1.3325,0.853195397,0.165107527,-1.971729024,-0.975022216
Applications and Systems Programmers,f,2,68,0,405,445,235,0.694479328,-1.2265,0.835324507,0.564385588,-2.328225227,-0.730289467
Applications and Systems Programmers,m,2,68.05,0,580,615,545,0.916869961,-1.039,0.449004983,0.357590096,-2.772085032,-0.926629256
Applications and Systems Programmers,m,2,68.1,0,425,505,515,0.704090412,-0.8936,-0.223024299,0.50239493,-1.612741667,-1.479159156
Applications and Systems Programmers,m,2,68.3,0,335,465,305,0.413838256,-0.6976,0.641269207,0.1785757,-1.980573112,1.347267381
Applications and Systems Programmers,m,2,68.3,1,635,525,525,0.694479328,-0.4012,0.700119856,0.509974895,-1.77722161,-0.644559015
Applications and Systems Programmers,m,2,68.32,0,640,570,545,0.843123727,-0.7655,-0.472509384,0.841200089,-2.328974601,-0.556886262
Applications and Systems Programmers,m,2,68.34,0,535,395,575,0.538386893,-0.4696,0.852547951,-0.305882868,-2.213918529,-0.820065971
Applications and Systems Programmers,m,2,68.5,0,570,475,500,0.488347977,-0.6664,-0.094722222,-0.796417197,-2.898503907,0.202137762
Applications and Systems Programmers,m,2,68.76,0,695,655,680,0.755375121,-1.4987,0.23950704,0.082020807,-1.589827661,0.08414305
Applications and Systems Programmers,m,2,68.8,0,425,435,595,0.622642916,-0.6551,0.585266611,0.031197971,2.180508942,-0.597264956
Applications and Systems Programmers,m,2,68.87,0,580,580,560,0.229481755,-1.3084,-0.26358062,0.229287438,-2.323179897,-0.430589321
Applications and Systems Programmers,f,2,68.89,1,405,450,500,0.356536488,-0.117,0.386830168,0.342035751,-2.146746849,-0.443086041
Applications and Systems Programmers,f,2,69,0,454,585,325,0.987207086,1.2314,0.89051404,0.022314984,-2.347987657,-0.363670119
Applications and Systems Programmers,m,2,69,0,535,470,585,0.622642916,-1.26,-0.745800072,0.119457981,-2.665933235,-0.645540199
Applications and Systems Programmers,m,2,69,0,430,425,295,0.338786347,-1.4843,0.874845823,0.105456741,-2.909298519,-1.467296241
Applications and Systems Programmers,m,2,69.04,0,325,535,505,0.525922584,-1.0274,0.079148819,0.871490838,2.157909914,-0.456024449
Applications and Systems Programmers,m,2,69.12,0,655,565,524,0.81941653,0.8425,0.961609246,0.034328585,1.713834756,-0.032381274
Applications and Systems Programmers,m,2,69.15,0,485,580,530,0.670743151,-0.75,0.777504638,0.39192,-2.208141133,1.0687447
Applications and Systems Programmers,m,2,69.19,1,510,585,620,0.930370607,-0.004,-0.583478527,-0.290283053,-2.401524288,-0.20099221
Applications and Systems Programmers,m,2,69.2,1,395,500,530,0.960603252,-0.2919,0.594990919,0.563870608,-2.890271313,-1.293236375
Applications and Systems Programmers,m,2,69.22,0,520,435,545,0.023312168,-0.1124,0.941193786,0.176781214,-2.845749028,-1.271738114
Applications and Systems Programmers,m,2,69.3,0,555,615,715,0.694479328,-0.4559,0.153956379,0.455091223,-1.951417361,-1.462930926
Applications and Systems Programmers,m,2,69.3,0,370,390,285,0.486747008,-0.426,0.806289506,0.494700091,2.583561044,-1.247958033
Applications and Systems Programmers,f,2,69.35,0,525,595,554,0.670743151,-1.4468,0.032011507,0.495094675,-2.434266101,-0.280737654
Applications and Systems Programmers,m,1,69.4,0,765,640,680,0.875503907,-1.4337,-0.210221753,0.391701876,-1.801316003,-1.436706584
Applications and Systems Programmers,f,2,69.43,0,465,475,500,0.884122512,0.394,0.125057337,0.54055177,-1.602623181,-0.127723982
Applications and Systems Programmers,f,2,69.47,0,435,565,455,0.24545566,-0.3362,0.403116923,0.954281529,-1.867651357,-0.811764377
Applications and Systems Programmers,m,2,69.71,0,515,565,625,0.600057182,-0.9126,0.257890344,0.204661435,-1.559683971,1.229781081
Applications and Systems Programmers,m,2,69.8,0,425,625,485,0.229481755,-1.1658,0.470508584,0.050863247,-1.847667303,-0.869336848
Applications and Systems Programmers,m,2,69.8,0,215,365,265,0.450876584,-0.6358,0.785740526,0.681256203,-2.956460727,-0.373283521
Applications and Systems Programmers,m,2,69.88,0,525,505,544,0.376059587,0.7481,0.988043811,0.1769786,-2.733043445,-0.528571645
Applications and Systems Programmers,m,2,69.91,0,545,400,635,0.843123727,-0.339,0.972629991,0.679306575,1.780380645,-0.093217796
Applications and Systems Programmers,m,2,70,1,515,455,355,0.901489571,-0.5989,0.035946852,0.29611865,-2.520593726,1.349144663
Applications and Systems Programmers,m,2,70,0,445,445,615,0.535862819,-0.5375,0.845838375,0.081629492,-2.62498262,-0.5862386
Applications and Systems Programmers,m,1,70,0,565,675,725,0.910770164,-1.3847,0.783564957,0.446722917,-1.713997508,-0.556542458
Applications and Systems Programmers,m,2,70,0,595,525,605,0.983749967,-0.7482,0.24982912,0.92725559,-1.799389281,-0.451212263
Applications and Systems Programmers,m,2,70,0,335,405,435,0.735795709,-0.6209,0.555179964,0.706421631,-2.21802973,0.698960112
Applications and Systems Programmers,m,2,70,0,544,385,505,0.793580615,-0.5681,0.050792469,-0.433589221,1.507813256,-0.407489641
Applications and Systems Programmers,m,2,70,1,415,495,515,0.538386893,-0.6812,-0.412427685,-0.20514021,-2.023876616,-1.410014308
Applications and Systems Programmers,m,2,70,0,535,535,464,0.308400583,-0.6038,-0.760607077,0.491396189,2.111028485,0.172746015
Applications and Systems Programmers,m,2,70,0,565,635,715,0.884122512,0.8123,0.025597684,0.673785944,-2.208265215,-0.662601391
Applications and Systems Programmers,f,2,70,0,445,365,375,0.842248322,-1.2044,0.148044047,0.081858953,-1.775510869,-1.294486895
Applications and Systems Programmers,f,2,70,0,615,545,370,0.450876584,-1.3593,0.057810522,0.158078015,-2.376880135,-0.114799307
Applications and Systems Programmers,m,2,70,0,590,555,590,0.990008757,-1.4485,0.63118679,0.814835717,-2.880450624,-1.148769317
Applications and Systems Programmers,m,2,70,0,630,580,510,0.338786347,-0.7933,0.995273162,0.392241618,-2.818271087,-0.592488475
Applications and Systems Programmers,m,2,70,0,440,540,535,0.756180114,-0.6703,0.997939691,-0.618205535,-2.228160066,0.50041359
Applications and Systems Programmers,m,2,70,0,325,470,415,0.030565991,-1.2972,0.524686587,0.739373176,-1.652033339,-0.084831447
Applications and Systems Programmers,m,2,70,0,440,395,440,0.735795709,0.4933,0.394598096,0.648966945,-2.157751178,0.702382916
Applications and Systems Programmers,m,2,70,0,720,530,675,0.694479328,-0.682,0.123359114,0.279371253,2.451252069,-0.874237112
Applications and Systems Programmers,m,2,70.06,1,700,505,585,0.486747008,-1.4759,0.185965139,0.859667729,-2.73994464,-0.675109645
Applications and Systems Programmers,m,2,70.25,0,575,565,645,0.525922584,-0.3347,0.514697696,0.679371654,2.551856195,-0.678006592
Applications and Systems Programmers,f,2,70.3,0,485,355,495,0.884122512,-0.5691,0.100038375,0.776021467,2.440379677,1.368654582
Applications and Systems Programmers,m,2,70.59,0,395,450,455,0.704090412,-0.6605,-0.320907025,0.849070767,-2.578877661,0.449623515
Applications and Systems Programmers,m,2,70.6,0,510,655,665,0.600057182,-0.4627,0.635211033,0.92131467,-2.316453912,-1.299407898
Applications and Systems Programmers,m,2,70.64,0,415,365,465,0.884122512,-0.6439,0.844082086,-0.025009784,-2.977568395,-0.77593253
Applications and Systems Programmers,m,2,70.66,0,425,405,495,0.744758354,-0.8698,-0.590527893,0.660586425,-2.732457463,-0.966787527
Applications and Systems Programmers,f,2,70.8,1,475,665,605,0.793580615,-0.6795,0.385496249,0.198752395,-2.181257516,0.195073564
Applications and Systems Programmers,m,2,70.8,1,605,525,370,0.563267824,0.066,0.589559707,0.240906983,-2.864075171,-0.230593371
Applications and Systems Programmers,m,1,70.83,1,520,425,485,0.563267824,-0.7957,0.29234329,0.884299868,-2.90875985,-0.75369964
Applications and Systems Programmers,m,2,70.9,0,455,475,475,0.842248322,-1.4915,0.550137815,0.421190002,-2.14925049,-0.677567832
Applications and Systems Programmers,m,2,71,1,375,535,625,0.901489571,-0.9426,0.426761069,0.589472213,-2.395521028,1.240237019
Applications and Systems Programmers,m,2,71,0,535,525,530,0.735795709,-1.1754,-0.430615436,0.378407413,-2.743183782,-0.716495307
Applications and Systems Programmers,m,2,71,0,395,585,445,0.356536488,-1.3304,-0.500337794,0.178411944,-1.518587231,0.197666915
Applications and Systems Programmers,m,2,71,0,510,475,400,0.298769129,-0.8544,0.991072089,0.091666239,-1.592414745,-0.110866809
Applications and Systems Programmers,m,2,71,0,535,560,460,0.486747008,1.3419,0.964817187,0.817311215,-2.666532352,-1.116339723
Applications and Systems Programmers,m,2,71,1,415,555,440,0.144789889,-0.488,0.17381552,0.912953937,-2.128670649,-0.333530165
Applications and Systems Programmers,f,2,71,0,605,545,585,0.783303537,-0.2358,0.179835758,0.149651026,-2.790027813,-0.548436315
Applications and Systems Programmers,m,2,71,0,360,460,430,0.744758354,-1.2419,0.545335894,0.165073406,-2.510379544,-0.451262676
Applications and Systems Programmers,m,2,71,0,675,480,570,0.23780284,-1.106,0.051132434,0.474428325,-2.189890848,-0.43532231
Applications and Systems Programmers,m,2,71,0,325,385,285,0.486747008,0.6438,0.546516045,0.322989193,-1.574943254,-0.04852158
Applications and Systems Programmers,m,2,71.06,0,555,475,615,0.916869961,-1.3866,0.543395887,0.96595002,-1.598332976,-1.335710337
Applications and Systems Programmers,f,2,71.06,0,640,475,560,0.413838256,-1.3945,-0.822932794,0.554199314,-1.820203743,0.850315691
Applications and Systems Programmers,m,2,71.07,1,495,565,454,0.968237496,-1.1348,0.26021642,0.955386471,-2.319594353,-1.19948701
Applications and Systems Programmers,m,2,71.2,0,545,540,630,0.338786347,-1.0916,0.186313003,0.439868025,-2.410414689,-0.01002665
Applications and Systems Programmers,f,2,71.4,0,605,635,565,0.901489571,-0.2153,0.061967716,-0.750614792,-2.756193559,-0.573551298
Applications and Systems Programmers,m,2,71.46,0,565,615,745,0.824666401,-0.453,0.959091114,0.804622007,-2.734714251,-0.110128323
Applications and Systems Programmers,m,2,71.46,0,765,715,635,0.23780284,-0.2309,0.994358034,0.87584903,-1.504996275,-1.007096028
Applications and Systems Programmers,m,2,71.5,0,555,375,605,0.694479328,-0.7099,0.61871699,0.494042995,-1.515917656,-0.577159745
Applications and Systems Programmers,m,2,71.67,0,554,515,725,0.910770164,-0.16,0.578784375,-0.041109979,-1.764554305,0.978395676
Applications and Systems Programmers,m,1,71.67,1,580,640,870,0.622642916,-0.2989,0.560633582,0.535892068,-1.809799697,-1.483874859
Applications and Systems Programmers,m,2,71.74,0,605,585,750,0.654107475,-0.6099,-0.929650122,0.415447853,-1.520866041,-0.060171337
Applications and Systems Programmers,m,2,71.81,0,510,495,340,0.538386893,-0.591,0.352777033,-0.563982469,-2.66414585,-0.676518274
Applications and Systems Programmers,m,2,71.88,0,570,470,430,0.670743151,-1.4091,0.104601105,-0.639026682,2.330980363,-0.927593705
Applications and Systems Programmers,f,1,72,0,464,505,505,0.525922584,-0.9197,0.3639215,0.176030939,-1.868316892,-0.823653847
Applications and Systems Programmers,m,2,72,0,475,375,315,0.165633092,-0.9493,0.047890673,0.542137536,-2.575875571,-0.43285496
Applications and Systems Programmers,m,2,72,0,605,595,675,0.824666401,-0.5219,-0.571339865,0.67122274,-2.909275398,-0.029267903
Applications and Systems Programmers,m,2,72,0,675,455,515,0.607034038,1.4908,0.565035013,0.433360236,-1.857538336,-1.013398973
Applications and Systems Programmers,f,2,72,1,535,470,470,0.190153406,-1.3939,0.91775724,0.167432333,-1.969697352,-0.231529233
Applications and Systems Programmers,m,2,72,1,555,495,575,0.124502074,-0.9799,0.057405424,-0.749817367,-2.571036123,-1.468168377
Applications and Systems Programmers,f,2,72,0,510,535,620,0.622642916,1.0335,-0.073291801,0.392808309,-1.984870507,-1.44933226
Applications and Systems Programmers,m,1,72,0,595,590,665,0.849802714,-0.8896,-0.094275986,0.264484121,-2.024147015,-0.374626839
Applications and Systems Programmers,m,2,72,0,350,590,570,0.493596387,1.2862,0.450441302,-0.623861987,2.678711498,-0.394907622
Applications and Systems Programmers,m,2,72,0,630,520,355,0.842248322,-1.1677,0.785849298,-0.608020595,-2.051973069,-1.237325689
Applications and Systems Programmers,m,2,72,0,385,640,690,0.996744487,0.7736,0.576745701,0.62142505,-1.731709268,-0.139249096
Applications and Systems Programmers,m,2,72.04,0,405,435,590,0.538386893,-0.56,0.081557898,0.015250066,-2.564749797,-1.050250948
Applications and Systems Programmers,m,2,72.1,0,640,625,390,0.409952199,-1.2382,0.856340474,0.905812369,2.395301516,-0.872486477
Applications and Systems Programmers,m,2,72.16,0,475,465,565,0.735795709,-1.1242,0.771985904,0.085966789,-2.985838933,-0.26997478
Applications and Systems Programmers,m,2,72.19,0,404,495,554,0.755375121,-1.3728,0.172293691,0.683320185,-1.949184235,-1.087570021
Applications and Systems Programmers,m,2,72.22,0,445,435,575,0.538386893,-0.9063,0.156833521,0.716997337,-2.704241243,-0.415663101
Applications and Systems Programmers,m,1,72.29,0,495,605,715,0.968237496,-1.407,0.974613776,0.992906757,-2.956000428,1.084678381
Applications and Systems Programmers,m,2,72.3,0,765,605,665,0.755375121,0.1104,0.464589578,0.453090755,2.663253313,-0.463307494
Applications and Systems Programmers,f,2,72.45,0,415,425,625,0.376059587,-0.4654,-0.303360646,0.597011055,-2.331223697,-0.064123226
Applications and Systems Programmers,m,2,72.5,0,595,565,495,0.884122512,-0.4836,0.374156738,0.917796917,-2.229115678,-1.1629662
Applications and Systems Programmers,m,1,72.5,1,615,415,680,0.338786347,-0.1315,0.571060528,0.74778004,-1.529805787,-1.382180462
Applications and Systems Programmers,f,2,72.5,1,430,385,295,0.911395278,-1.4218,0.089280205,0.800861175,1.70977454,-0.742677323
Applications and Systems Programmers,m,2,72.56,0,585,415,655,0.694479328,-1.4281,0.071399851,-0.598992172,-2.266534307,-0.286868634
Applications and Systems Programmers,f,2,72.6,0,635,555,655,0.916869961,-0.8729,0.137507436,0.525184578,-2.644583075,-1.177556051
Applications and Systems Programmers,m,2,72.6,1,485,435,445,0.535862819,0.3092,0.431264687,0.216806088,-2.42767715,-0.855133841
Applications and Systems Programmers,m,1,72.7,1,590,575,635,0.649389715,-0.8029,0.693846482,0.009533492,-2.438208549,-1.306254361
Applications and Systems Programmers,m,2,72.9,1,605,485,655,0.622642916,-0.7439,0.103597397,0.523692735,-1.522702448,0.755385837
Applications and Systems Programmers,f,2,73,0,334,425,605,0.824666401,-1.1483,0.053292386,0.626694711,-2.599553049,-0.277653748
Applications and Systems Programmers,f,2,73,0,665,645,595,0.884122512,-0.0491,0.330508416,-0.932571471,-2.377088084,-0.656484884
Applications and Systems Programmers,m,2,73,0,590,555,590,0.783303537,-1.0672,-0.96297087,0.357209614,-2.484915941,-1.3360435
Applications and Systems Programmers,m,2,73,0,640,645,690,0.356536488,-0.7166,-0.597447687,0.777691925,2.418956803,0.995954824
Applications and Systems Programmers,f,2,73,0,490,435,560,0.080055281,-0.9256,0.761545726,0.732884908,-1.580886911,-0.788209762
Applications and Systems Programmers,f,2,73.18,0,565,505,575,0.824666401,-0.5218,0.365005127,0.572220615,1.559711798,-0.403051434
Applications and Systems Programmers,m,2,73.2,0,645,575,525,0.998680246,-0.5252,0.049358076,0.632053091,2.172470383,-1.314631247
Applications and Systems Programmers,m,1,73.2,1,464,555,625,0.960603252,-1.3,0.784988433,0.374664041,-2.281087033,0.380786321
Applications and Systems Programmers,m,2,73.2,0,380,525,720,0.356536488,-0.0954,0.273278197,0.391059983,2.17517267,-0.126243542
Applications and Systems Programmers,m,2,73.3,0,525,495,515,0.884122512,-1.2553,0.544049092,0.598005771,-1.717187191,0.25158104
Applications and Systems Programmers,m,2,73.3,0,415,645,735,0.968237496,-0.2874,0.140440691,0.301550739,-2.645813803,-0.053030548
Applications and Systems Programmers,m,2,73.32,0,435,385,575,0.600057182,-1.1084,0.362822806,0.601800712,-1.835384461,-0.527524284
Applications and Systems Programmers,f,2,73.4,0,735,530,415,0.493596387,-1.1839,0.655731194,0.489031887,-2.062536369,1.051891849
Applications and Systems Programmers,m,2,73.4,0,490,470,500,0.053160305,-0.445,0.535092961,0.194419442,-2.192455601,-1.201843042
Applications and Systems Programmers,m,2,73.5,0,545,485,595,0.974396113,-1.218,0.904059472,0.064964981,-1.750406097,0.35682838
Applications and Systems Programmers,m,2,73.5,0,575,575,585,0.744758354,-0.9208,0.16748033,0.765523767,-2.223493819,-0.637241313
Applications and Systems Programmers,m,2,73.5,0,465,580,680,0.990008757,-0.7782,0.593075353,0.286659446,-1.882069553,-1.208922494
Applications and Systems Programmers,f,2,73.5,1,535,435,440,0.20739217,-1.2285,-0.853352625,0.451012098,-2.243982837,-1.380204798
Applications and Systems Programmers,m,2,73.6,0,475,575,615,0.958682017,-1.499,-0.237211642,0.068310469,-2.862926707,-0.532734184
Applications and Systems Programmers,f,2,73.6,0,455,505,535,0.486747008,1.0238,0.796379564,-0.35507818,-1.580174622,-1.415829974
Applications and Systems Programmers,m,2,73.7,0,495,545,565,0.735795709,-1.4339,0.274885225,0.167772192,-2.576839703,-1.167374451
Applications and Systems Programmers,f,2,73.8,0,425,565,565,0.376059587,-1.1105,0.056316871,0.945783652,2.914141861,-1.330546839
Applications and Systems Programmers,m,2,73.8,0,625,585,695,0.414337426,-1.1452,0.638532159,0.861006235,-1.78944306,-1.391211062
